Date,Bar Name,Brand Name,Demand (ml),Forecast (ml),Par Level (ml),Closing Inventory (ml),Order Quantity (ml),Lost Demand (ml),Stockout Day
2023-11-11,Anderson's Bar,Absolut,0.0,144.9257142857143,540,4.139999999999986,120.0,0.0,False
2023-11-12,Anderson's Bar,Absolut,0.0,144.9257142857143,540,420.0,0.0,0.0,False
2023-11-13,Anderson's Bar,Absolut,0.0,99.26285714285714,450,540.0,0.0,0.0,False
2023-11-14,Anderson's Bar,Absolut,0.0,99.26285714285714,450,540.0,0.0,0.0,False
2023-11-15,Anderson's Bar,Absolut,0.0,63.69428571428572,360,540.0,0.0,0.0,False
2023-11-16,Anderson's Bar,Absolut,0.0,63.69428571428572,360,540.0,0.0,0.0,False
2023-11-17,Anderson's Bar,Absolut,517.2,63.69428571428572,360,22.799999999999955,337.20000000000005,0.0,False
2023-11-18,Anderson's Bar,Absolut,0.0,73.88571428571429,390,22.799999999999955,30.0,0.0,False
2023-11-19,Anderson's Bar,Absolut,0.0,73.88571428571429,390,360.0,0.0,0.0,False
2023-11-20,Anderson's Bar,Absolut,0.0,73.88571428571429,390,390.0,0.0,0.0,False
2023-11-21,Anderson's Bar,Absolut,0.0,73.88571428571429,390,390.0,0.0,0.0,False
2023-11-22,Anderson's Bar,Absolut,0.0,73.88571428571429,390,390.0,0.0,0.0,False
2023-11-23,Anderson's Bar,Absolut,0.0,73.88571428571429,390,390.0,0.0,0.0,False
2023-11-24,Anderson's Bar,Absolut,139.16,73.88571428571429,390,250.84,139.16,0.0,False
2023-11-25,Anderson's Bar,Absolut,0.0,19.88,270,250.84,0.0,0.0,False
2023-11-26,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-11-27,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-11-28,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-11-29,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-11-30,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-12-01,Anderson's Bar,Absolut,0.0,19.88,270,390.0,0.0,0.0,False
2023-12-02,Anderson's Bar,Absolut,0.0,0.0,240,390.0,0.0,0.0,False
2023-12-03,Anderson's Bar,Absolut,0.0,0.0,240,390.0,0.0,0.0,False
2023-12-04,Anderson's Bar,Absolut,0.0,0.0,240,390.0,0.0,0.0,False
2023-12-05,Anderson's Bar,Absolut,0.0,0.0,240,390.0,0.0,0.0,False
2023-12-06,Anderson's Bar,Absolut,480.21,0.0,240,0.0,240.0,90.20999999999998,True
2023-12-07,Anderson's Bar,Absolut,504.45,68.60142857142857,390,0.0,150.0,504.45,True
2023-12-08,Anderson's Bar,Absolut,0.0,140.66571428571427,540,240.0,150.0,0.0,False
2023-12-09,Anderson's Bar,Absolut,0.0,140.66571428571427,540,390.0,0.0,0.0,False
2023-12-10,Anderson's Bar,Absolut,130.5,140.66571428571427,540,409.5,130.5,0.0,False
2023-12-11,Anderson's Bar,Absolut,0.0,159.3085714285714,570,409.5,30.0,0.0,False
2023-12-12,Anderson's Bar,Absolut,0.0,159.3085714285714,570,540.0,0.0,0.0,False
2023-12-13,Anderson's Bar,Absolut,0.0,159.3085714285714,570,570.0,0.0,0.0,False
2023-12-14,Anderson's Bar,Absolut,0.0,90.70714285714287,420,570.0,0.0,0.0,False
2023-12-15,Anderson's Bar,Absolut,0.0,18.642857142857142,270,570.0,0.0,0.0,False
2023-12-16,Anderson's Bar,Absolut,160.78,18.642857142857142,270,409.22,0.0,0.0,False
2023-12-17,Anderson's Bar,Absolut,0.0,41.61142857142857,330,409.22,0.0,0.0,False
2023-12-18,Anderson's Bar,Absolut,186.47,22.96857142857143,300,222.75000000000003,77.24999999999997,0.0,False
2023-12-19,Anderson's Bar,Absolut,0.0,49.607142857142854,330,222.75000000000003,30.0,0.0,False
2023-12-20,Anderson's Bar,Absolut,0.0,49.607142857142854,330,300.0,0.0,0.0,False
2023-12-21,Anderson's Bar,Absolut,0.0,49.607142857142854,330,330.0,0.0,0.0,False
2023-12-22,Anderson's Bar,Absolut,0.0,49.607142857142854,330,330.0,0.0,0.0,False
2023-12-23,Anderson's Bar,Absolut,0.0,49.607142857142854,330,330.0,0.0,0.0,False
2023-12-24,Anderson's Bar,Absolut,0.0,26.638571428571428,300,330.0,0.0,0.0,False
2023-12-25,Anderson's Bar,Absolut,0.0,26.638571428571428,300,330.0,0.0,0.0,False
2023-12-26,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
2023-12-27,Anderson's Bar,Absolut,0.0,0.0,240,330.0,0.0,0.0,False
