Bar Name,Brand Name,Chosen Model,Validation WAPE,Test WAPE,RMSE (ml)
Brown's Bar,Yellow Tail,day-of-week seasonal mean,1.5169635130315116,1.7201892869139115,173.2254488169833
Johnson's Bar,Absolut,7-day moving average,1.5868107119985118,1.731049295152726,167.6513110946178
Johnson's Bar,Bacardi,7-day moving average,1.749406793666209,1.6925372755550796,134.34417499849476
Johnson's Bar,Barefoot,7-day moving average,1.6259654795258014,1.8607013952077645,167.73564538672142
Johnson's Bar,Budweiser,day-of-week seasonal mean,1.487529985098079,1.8694905209297337,165.0497692687404
Johnson's Bar,Captain Morgan,7-day moving average,1.4790954071577855,1.6470423675061574,173.874948882309
Johnson's Bar,Coors,day-of-week seasonal mean,1.7557618619269046,1.4831493012987567,149.96741899521547
Johnson's Bar,Grey Goose,7-day moving average,1.6190928669850897,1.487460436712978,169.59855106534826
Johnson's Bar,Heineken,7-day moving average,1.7356763524071819,1.6416927750769659,135.9381058708525
Johnson's Bar,Jack Daniels,7-day moving average,1.7873996376866539,1.743003137125433,149.78644192589977
Johnson's Bar,Jameson,7-day moving average,1.692200085819899,1.600904262085851,126.4115855089006
Johnson's Bar,Jim Beam,day-of-week seasonal mean,1.6532699152270303,1.760097037267425,132.2810147029483
Johnson's Bar,Malibu,day-of-week seasonal mean,1.673309007763371,1.5925848428729972,160.33298697926537
Johnson's Bar,Miller,7-day moving average,1.7921264321408386,1.6766699993208336,132.840544085205
Johnson's Bar,Smirnoff,day-of-week seasonal mean,1.5681491356830561,2.1067122459354404,183.0671445940543
Johnson's Bar,Sutter Home,7-day moving average,1.5988053990304054,1.6491637718010244,157.34922462989388
Johnson's Bar,Yellow Tail,7-day moving average,1.5370977143978604,1.6532192979475326,140.90566785444756
Smith's Bar,Absolut,day-of-week seasonal mean,1.5565068947028537,1.733621779515322,180.1170662286698
Smith's Bar,Bacardi,day-of-week seasonal mean,1.7835572118648233,1.4118168706634442,150.90113329850652
Smith's Bar,Barefoot,7-day moving average,1.5514145071537044,1.7743180353667338,145.93328172219216
Smith's Bar,Budweiser,day-of-week seasonal mean,1.6989789807541669,1.7635299696340954,117.05234477577038
